id,name,price,image,room_types,breakfast_options,detail
001,MARURI ヒナタマグカップ 350ml,660,mag_a.jpg,gray|blue|white|navy|red,YES|NO,丸利玉樹利喜蔵商店（まるりたまきりきぞうしょうてん）\n　1940年創業。丸利玉樹利喜蔵商店は岐阜県土岐市に拠点を置く、テーブルウェアのプロデュースカンパニーです。日常生活に溶け込むデイリーウェアブランドのMARURI、全米で人気を博したアメリカンデイリーウェアのMIKASA、熟練の職人が手掛けるハイセンスな和食器ブランドのRikizoなど、多彩なブランドで国内及び世界中の食卓へ、デイリーウェアの魅力を伝えています。
002,MARURI マグカップ マム 310ml,957,mag_b.jpg,beige|pink,,程よく大人のフレンチシック。\n淡いピンクがロマンチックな雰囲気。\nフレンチシックなニュアンスで、甘すぎない絶妙なバランス感覚で仕上げられているから、ずっと長く愛用できそう。
003,cores マグカップ 320ml,2202,mag_c.jpg,yellow|camel|green|black|white|red,,コーヒーの香りと風味をあますことなく楽しむために細部まで計算し、こだわりぬいてつくりあげたマグカップ、それがキキマグ\n口元を内側にすぼませることにより、コーヒーが広がるように流れ入り、おいしさとアロマを引き出し口の中全体で複雑な味わいを感じることができる\nすぼんだ独特のかたちをつくるために、上部と下部2つの型に分け、一つにつないでいる\nその境目をわからないようにするためには、人の手による繊細な作業が必要となり、一般的なマグカップとは、かかる工程と手間が大きく異なりる\n日本最大の陶磁器生産地として知られる、岐阜県。キキマグはこの地で古くから伝わる美濃焼でつくられている
004,たたら 美濃焼 マグカップ グレー 300ml,1216,mag_d.jpg,green|gray|brown|blue,,光沢のないマットな色合いがオシャレなマグカップです。\n外側はグレー、内側はカラーバリエーションがブルー、ピンク、グリーン、ブラウン、グレーの5色あります。\nご夫婦でお揃いの色にしたり、ご家族で色違いを揃えるのもおすすめです。\n原産国:日本
005,KINTO (キントー) SCS-S01 マグ 220ml コーヒー 電子レンジ・食洗機対応,1430,mag_e.jpg,black|beige,,サイズ:φ75 x H75 x W110 mm 容量:220 ml\n素材:磁器\n電子レンジ:可 食器洗浄機:可\n食器乾燥機:可\n原産国:日本
006,HARIO(ハリオ) 香り マグカップ 耐熱ガラス 電子レンジ/食洗機対応 コーヒーグラス 330ml 日本製,798,mag_f.jpg,glass,,香りをより愉しむためのマグカップ\n香りをより愉しむためのマグカップです。 丸みをつけたデザインは、カップの中の空気の対流をうながしカップから出る香りを口元に集めるので、飲み物の香りをより楽しめます。\nアイスドリンクもホットドリンクもOKなのは、耐熱ガラス製だから。 熱湯洗浄はもちろん、食器洗い乾燥機の使用もOKです。
007,不二貿易(Fujiboeki) マグカップ 幅15×奥行10.5×高さ10.5cm アイボリー 580ml ツートンカラー 大きめサイズ 電子レンジ・食洗器対応 ドロップ,2250,mag_g.jpg,ivory|green|dark-green|dark-gray|navy|purple|pink|light-gray,,ほっこりフォルムのストーンウェア製ツートンマグ\nサイズ:幅15×奥行10.5×高さ10.5cm\n原産国:中国\n落ち着いたくすみカラーがどんな食卓にも似合う可愛らしいマグカップ。\n大容量の550mlでお好きなドリンクをたっぷり入れて、ゆったりと休憩時間を楽しむことができます。\nストーンウェアを使用しているため、耐久性に優れ、毎日ご使用いただけます。
008,aito製作所 「 ナチュラルカラー 」 美濃焼 マグカップ 大きめ コーヒーカップ 約320ml シンプル 軽い 食洗機対応 電子レンジ対応 プレゼント コーヒー コップ coffee mug cup 日本製,654,mag_h.jpg,ivory|green|gray|navy|pink|blue-gray,,・持ち手が大きく底面も広いので、安定感があってたっぷり注げるマグカップ。\n・電子レンジ対応、食洗機対応。\n・商品サイズ:約直径9×8cm 容量:320ml\n・商品重量:0.26kg\n・素材:磁器\n・生産国:日本\n日々の、何気ない暮らしにある食卓のワンシーンを、ナチュラルに素敵に。\n飾りすぎないうつわが、和洋どんなお料理にも合わせやすく使いやすい。\n持ち手が大きく底面も広いので、安定感があってたっぷり注げる。\n新たに食器の新調を考えている方や、新生活のスタートなどでまとめ買いをしたい方にもおすすめ。\n電子レンジ対応、食洗機対応。\n釉薬の特性上、色や風合いなどひとつひとつ器の表情が異なります。個性としてお楽しみください。
009,田中産業　今治タオル　ハンカチ　メンカ　マチュア, 550,towel_a.jpg,white|pink|brown|mouve|light-gray,,●ファッショントレンドを意識したシックなカラートーンで、より高品質かつデザイン性の高い、洗練された大人のための種類豊富なタオルアイテム!\n●アイテムごとにぴったりな原綿、糸の太さや撚り、そして織り方を使い分け、心地よさを追及している\n●パイルには厳選されたアメリカ産の高級綿「スーピマ」を使用! 素肌に触れても気持ちいい使用感。\n●【mencaブランド】の「mature」シリーズのハンカチ!\n●撚りを解いた「無撚糸」と、通常使われる糸より撚りを少なくした「甘撚糸」を一枚のタオル生地のなかで組み合わせて織り上げてある\n●究極の肌触りとデザイン性を両立\n●外出先でも上品な肌触りが嬉しい仕上がりで、インテリアやファッションともマッチする、ファッショントレンドを意識したシックなカラートーン。\n●お引越しの挨拶まわりに、お友だちや同僚、ご家族やご親戚の方の誕生日プレゼントに、父の日や母の日、敬老感謝の日のプレゼントに、贈り物としてもぴったり。\n●5色展開(ホワイト、ライトグレー、ピンク、モーヴ、ブラウン)\n●「今治タオルブランド」認定商品
010,タオル研究所　[ボリュームリッチ] フェイスタオル 5枚セット 高速吸水 耐久性 綿100% 480GSM JapanTechnology,1890,towel_b.jpg,sand-beige|smorky-blue|dusty-green|charcoal-gray|deep-purple|white|misty-pink|light-gray|light-lavender,,【「吸水力」の新概念】「吸水スピード」「吸水量」「吸水方向」、といった吸水力のすべてを高次元で追求しました。\n【ふかふかソフトな風合い】弾力性があり、しっかり厚みをもたせているので、贅沢な気分でホテル仕様のふかふかタオルをお楽しみいただけます。また、天然コットン100%なので、安心してお使いいただけます。\n【高い耐久性】毛羽落ちを抑えて糸の劣化を防ぐ技術によって、洗濯回数が多くなるトレーニング、エステ、美容院などでのご使用でも、柔らかさが持続します。\n【Japan Technology】 私たちは日本のタオルメーカーです。お客様視点に立ち、どんなタオルが心地よいのか、どんなタオルが使いやすいのか、どんなタオルがご満足いただけるのかを日々研究努力を続けているメーカーです。日本の技術力を活用し、生産効率を実現するため、厳選された海外の工場にて生産しております。
011,ハンドタオル ハンカチ ヒポポタマス Hippopotamus モチーフハンカチ BOX付き 今治タオル ブランド 高級タオル レディース メンズ 日本製,2200,towel_c.jpg,yellow|pink|gray|purple|red,,ヒポポタマスの特徴は、個性的なカラーリングだけではありません。吸水性、柔軟性、色合い、肌触り、速乾性……。すべてにおいてゆずらずに追求、選り抜きの素材と手間暇をかけた工程により、理想のタオルに仕上がりました。オーガニックコットンとエコ素材の再生竹繊維を織り混ぜることで、複雑で印象深いカラーリングと、爽快感のある独特な拭き心地を楽しむことができます。
012,ツバメタオル 明治45年創業 泉州タオル 日本製 フェイスタオル 5枚セット [かすみ] 速乾 ボーダー オーガニックコットン 瞬間吸水 乾きやすい 部屋干し 綿100％ 270匁 5色アソート,2860,towel_d.jpg,5collars|green|gray|navy|brown|red,,【透かし織のかすみ】パイルの下から柄が透けて見える透かし織を採用。主張しすぎないボーダー柄のパイル生地はインテリアに合わせやすいデザイン。\n【薄手でもしっかりとした吸水力】大阪泉州タオルならではの「後晒し」により生産過程のノリをしっかりと落としきっているので、抜群の吸水性を誇ります。生地を厚手にしなくてもしっかりと水を吸ってくれ、速乾性も兼ね備えていますので使い心地は抜群です。\n【敏感肌の方・赤ちゃん向け】生産過程で化学薬品をほとんど使っておらず、出荷前に繰り返し水洗いをして仕上げられているので届いた時からお肌に優しい風合いです。赤ちゃんやお肌の敏感な方でも安心してご使用して頂けます。\n【こだわりのオーガニック製法】栽培からこだわられたオーガニックコットンを使用。化学薬品の使用を抑えた有機精練製法により環境に配慮し、地球にも人にもやさしいタオルです。\n【生産国・サイズ】生産地：日本製(泉州タオル) サイズ：約34cm×80cm 重さ：84g(270匁)